Poll	Start	End	Sample	Type	Clinton	Sanders	Biden	Webb	O'Malley	Chafee	Spread
RCP Average	9/17	10/4	NA	--	41.6	25.2	18.9	0.8	0.7	0.2	Clinton +16.4
PPP (D)	10/1	10/4	551	RV	42	24	20	2	1	1	Clinton +18
IBD/TIPP	9/26	10/1	348	RV	42	18	22	1	1	0	Clinton +20
USA Today/Suffolk	9/24	9/28	430	LV	41	23	20	0	0	1	Clinton +18
Pew Research*	9/22	9/27	387	RV	45	24	8	0	0	0	Clinton +21
NBC/WSJ	9/20	9/24	256	RV	42	35	17	1	0	0	Clinton +7
FOX News	9/20	9/22	381	LV	44	30	18	1	2	0	Clinton +14
Bloomberg	9/18	9/21	375	RV	33	24	25	2	1	0	Clinton +8
Quinnipiac	9/17	9/21	587	RV	43	25	18	0	0	0	Clinton +18
CNN/ORC	9/17	9/19	392	RV	42	24	22	0	1	0	Clinton +18
