Poll	Start	End	Trump	Carson	Fiorina	Rubio	Bush	Cruz	Kasich	Huckabee	Christie	Paul	Santorum	Jindal	Graham	Pataki	Spread
RCP Average	9/17	10/4	23.2	17.2	10.4	9.9	8.4	6.2	3.2	2.9	2.6	2.3	0.6	0.6	0.3	0.3	Trump +6.0
PPP (D)PPP (D)	10/1	10/4	27	17	6	13	10	7	4	4	2	2	2	1	1	1	Trump +10
IBD/TIPPIBD/TIPP	9/26	10/1	17	24	9	11	8	6	4	2	2	3	0	1	0	0	Carson +7
USAT/SuffolkUSAT/Suffolk	9/24	9/28	23	13	13	9	8	6	2	2	1	2	0	1	1	0	Trump +10
Pew Research*Pew Research*	9/22	9/27	25	16	8	8	4	6	1	2	1	2	0	0	1	0	Trump +9
NBC/WSJNBC/WSJ	9/20	9/24	21	20	11	11	7	5	6	2	3	3	1	1	0	0	Trump +1
FOX NewsFOX News	9/20	9/22	26	18	9	9	7	8	4	3	5	2	0	0	0	1	Trump +8
BloombergBloomberg	9/18	9/21	21	16	11	8	13	5	4	3	4	2	1	1	0	0	Trump +5
QuinnipiacQuinnipiac	9/17	9/21	25	17	12	9	10	7	2	2	2	1	0	0	0	1	Trump +8
CNN/ORCCNN/ORC	9/17	9/19	24	14	15	11	9	6	2	6	3	4	1	0	0	0	Trump +9
